Reuters10,Reuters48,TDT2,20 news groups,Yale FaceD
410.77,426.58,541.65,1263.1,45.525
221.73,251.95,401.43,1177.4,29.408
181.33,187.85,353.58,934.45,27.31
155.6,181.71,276.58,606.56,26.087
141.33,159.15,267.25,601.09,25.531
127.31,153.06,238.46,495.64,24.814
122.69,133.74,231.08,470.16,24.786
119.22,121.83,215.71,441.59,23.62
108.79,120.19,195.26,406.25,23.121
94.662,111.87,188.26,386.38,22.778
92.048,109.08,180.68,368.47,22.366
89.968,93.906,176.88,360.6,22.024
84.27,89.107,166.68,335.34,21.891
81.054,87.466,163.99,333.25,21.371
78.56,82.794,161.69,326.88,20.585
77.291,81.752,157.66,323.07,20.121
75.606,80.137,156.57,314.76,18.011
73.651,78.655,153.3,306.16,17.429
69.682,77.605,148.24,295.72,17.125
68.988,76.089,145,290.44,16.938
68.575,73.396,140.37,287.58,16.71
63.873,71.855,138.67,278.86,16.359
63.395,71.196,136.45,266.57,16.073
62.302,70.001,134.57,260.91,15.836
60.807,69.015,132.15,252.67,15.73
60.447,66.25,131.73,250.98,15.553
59.196,65.884,129.76,243.11,15.374
59,64.808,128.7,234.57,15.222
58.673,63.209,127.15,231.84,15.102
57.593,62.395,126.05,228.56,14.871
56.492,61.234,124.6,227.47,14.837
55.978,60.487,122,224.07,14.557
54.751,60.21,121.12,221.91,14.552
54.185,59.762,120.11,214.63,14.425
54.171,59.018,119.56,212.27,14.331
53.898,58.6,118.42,209.6,14.226
53.163,58.066,116.98,205.06,14.012
52.331,57.314,116.02,201.02,13.919
51.958,56.729,115.22,195.07,13.835
51.579,56.252,114.37,192.37,13.718
50.822,55.796,113.25,189.57,13.661
50.037,55.318,111.64,189.15,13.527
49.407,54.889,110.81,183.94,13.518
48.97,54.624,109.34,180.28,13.416
48.683,53.983,108.82,179.82,13.279
48.238,53.238,106.62,175.18,13.219
47.962,52.8,104.67,172.34,13.055
47.215,52.59,103.57,171.28,13.011
46.692,51.829,102.77,169.47,12.929
46.469,51.433,101.76,167.52,12.888
46.25,51.364,101.09,161.74,12.828
46.06,51.104,99.976,160.28,12.686
45.53,50.432,99.125,157.72,12.653
45.361,49.754,98.556,156.53,12.607
44.755,49.634,97.639,156.01,12.54
44.735,49.178,96.664,153.21,12.535
44.232,49.072,95.597,152.13,12.495
43.826,48.791,95.053,151.31,12.387
43.602,48.437,94.124,150.09,12.314
43.22,48.126,93.814,149.19,12.302
42.945,47.519,92.691,146.88,12.142
42.543,47.344,92.319,145.23,12.099
42.431,47.158,91.405,143.29,12.091
42.184,46.933,90.569,142.82,12.01
42.011,46.794,89.875,141.78,11.942
41.771,46.321,89.391,140.35,11.907
41.556,45.955,88.478,139.22,11.877
41.012,45.8,88.051,137.64,11.792
40.944,45.62,87.537,135.54,11.732
40.873,44.967,87.158,134.89,11.675
40.561,44.899,86.624,134.25,11.598
40.488,44.535,86.092,133.09,11.466
40.073,44.166,85.76,132.02,11.446
39.969,44.042,85.266,130.72,11.389
39.663,43.647,84.907,129.63,11.34
39.546,43.296,84.431,128.83,11.316
39.422,43.216,83.263,128.47,11.223
39.335,42.745,83.155,128.05,11.176
38.874,42.713,82.473,127.29,11.162
38.723,42.509,81.413,126.57,11.14
38.611,42.414,80.981,126.06,11.041
38.549,42.296,80.779,125.39,10.922
38.425,41.966,80.63,124.67,10.899
38.323,41.907,80.424,123.68,10.884
38.123,41.739,80.073,123.43,10.777
37.901,41.551,79.335,121.79,10.718
37.68,41.369,78.957,120.92,10.673
37.555,41.173,78.683,119.38,10.655
37.284,41.018,78.506,118.48,10.596
37.157,40.722,77.719,118.26,10.557
36.947,40.647,77.277,117.4,10.523
36.828,40.532,76.943,115.97,10.46
36.757,40.32,76.469,115.15,10.421
36.535,40.211,75.735,115.01,10.384
36.468,40.001,75.398,114.37,10.348
36.398,39.916,75.187,113.75,10.324
36.225,39.783,75.031,113.37,10.261
35.999,39.489,74.926,112.96,10.228
35.947,39.428,74.771,112.66,10.112
35.708,39.237,74.524,112.13,10.08
35.576,38.994,74.219,111.72,10.036
35.502,38.797,73.844,111,9.9919
35.392,38.611,73.332,110.52,9.9366
35.201,38.477,73.262,110.21,9.9308
34.922,38.427,72.914,109.13,9.9034
34.87,38.304,72.428,108.74,9.8405
34.797,38.145,72.205,108.41,9.8269
34.69,37.983,72.135,107.75,9.778
34.517,37.928,71.687,107.24,9.6958
34.39,37.778,71.354,106.53,9.6526
34.276,37.615,71.107,106.17,9.6289
34.168,37.411,70.626,105.46,9.5627
34.016,37.24,70.543,105.22,9.5279
33.891,37.144,70.195,104.96,9.5075
33.703,37.044,70.036,104.34,9.4558
33.672,36.99,69.791,103.49,9.3884
33.557,36.842,69.387,103.28,9.368
33.469,36.791,69.247,102.46,9.3493
33.309,36.681,69.167,101.8,9.2721
33.255,36.573,68.772,101.62,9.2704
33.162,36.404,68.363,101.08,9.1693
33.114,36.345,68.27,100.93,9.0893
32.922,36.307,67.968,100.35,9.0632
32.805,36.147,67.778,99.53,8.9271
32.785,35.938,67.629,99.298,8.8593
32.63,35.845,67.61,99.1,8.8013
32.456,35.716,67.181,98.03,8.7735
32.28,35.573,66.837,97.819,8.706
32.223,35.557,66.468,97.473,8.6743
31.995,35.485,66.284,97.04,8.6592
31.912,35.255,66.116,96.776,8.4975
31.843,35.225,66.049,96.287,8.4818
31.807,35.095,65.862,96.061,8.3967
31.655,35.029,65.572,95.613,8.3481
31.612,34.961,65.467,94.987,8.2281
31.531,34.827,65.175,94.573,8.1329
31.428,34.723,64.974,94.124,8.1009
31.393,34.639,64.547,93.925,7.9945
